Instrument Name,Acronym,Min frequency [MHz],Max frequency [MHz],Dynamic spectra,Imaging abilities,Full-Stokes measurements,Location,Start date (first availability),End date,Data format,Official Website,Data access,Calibrated science level data products,Quick-looks,Public software tools,Comments
Ground-based,,,,,,,,,,,,,,,,
Atacama Large Millimeter/submillimeter Array (ALMA),ALMA,30000,950000,No,Yes,Yes,"Chanjnantor Plateau, Chile",Solar data from 2016,Active,"FITS, 'measurement set' of raw visibility data",https://almascience.eso.org/,https://almascience.eso.org/alma-data,,https://almascience.eso.org/aq/,CASA,Potential ability to produce dynamic spectra.
e-CALLISTO,e-CALLISTO,45,870,Yes,No,No,Worldwide,Archive from 2002 onwards,Active,FITS (.fit / .fit.gz),https://www.e-callisto.org/,https://www.e-callisto.org/Data/data.html,,http://soleil.i4ds.ch/solarradio/callistoQuicklooks/,IDL and Python routines (various); CALLISTO tools,A world-wide network of individual antennas with differing frequency ranges.
EOVSA,EOVSA,1000,18000,Yes,Yes,Yes,"Owens Valley, CA, USA",Expanded array completed 2017; data available from 2017-01-16,Active,Miriad (IDB/UDB); CASA Measurement Set; FITS (level-1 products),https://ovsa.njit.edu/index.php,https://ovsa.njit.edu/data.html - EOVSA Data Products / browser + raw & calibrated data links,,https://ovsa.njit.edu/eovsadata/,CASA; Miriad,
Karl G. Jansky Very Large Array (VLA),VLA,54,50000,Yes,Yes,Yes,"Central New Mexico, USA",VLA first light 1977; JVLA online from 2012,Active,FITS-IDI/UVFITS; CASA Measurement Set; archive data products,https://public.nrao.edu/telescopes/vla/,https://science.nrao.edu/facilities/vla/archive/index - NRAO Science Data Archive,,,,Alternative abbreviation: JVLA. Formerly called EVLA. 
Low-Frequency Array (LOFAR),LOFAR,10,240,Yes,Yes,Yes,"Exloo, Netherlands",Regular Science from 2012.  Currently upgrading,Upgrading to LOFAR 2.0. Online in October 2026.,Measurement Sets (MS); beam-formed data: .h5 + .raw (binary),https://science.astron.nl/telescopes/lofar/,"LOFAR Long-Term Archive (LTA) https://lta.lofar.eu/ 
https://spaceweather.astron.nl/SolarKSP/data/atdb_process/solar_bf_fluence",,https://spaceweather.astron.nl/SolarKSP/data/website/#/,HDF5 tools; PyCRTools (for some LOFAR data); LOFAR software stack,0.25s reduced data product https://spaceweather.astron.nl/SolarKSP/data/atdb_process/solar_bf_fluence 
I-LOFAR,I-LOFAR,10,240,Yes,No,Yes,"Birr, Ireland",Operational since 2019,Active," beamlet statistics stored as binary .dat files (1sec, ~195 kHz), .fil REALTA files",https://lofar.ie,LOFAR data via LOFAR systems / campaigns (see site) - https://data.lofar.ie/,,https://data.lofar.ie/,,
Mingantu Spectral Radioheliograph (MUSER),MUSER,400,15000,Yes,Yes,Yes,Inner Mongolia,Constructed 2009–2016; completed 2016,Active,Interferometric visibility/image data products; FITS products reported in literature/archives,https://english.nao.cas.cn/Research2015/Research_Divisions2015/solar/202012/t20201217_256816.html,NAOC/MUSER project data access; public availability should be checked with project team,,,,
Nancay Decametric Array (NDA),NDA,10,100,Yes,No,Yes,"Nancay, France",Built 1975–1977; daily observations since Jan 1978,Active,Fits,https://secchirh.obspm.fr,https://cdn.obs-nancay.fr/repository/nda/newroutine/soleil/,,https://secchirh.obspm.fr,Python routine,
NenuFAR,NenuFAR,10,85,Yes,Yes,Yes,"Nancay, France",Early Science phase in 2019,Active,"BST file in fits (1s resolution), .spectra file (raw data, high resolution 21 msec)",https://nenufar.obs-nancay.fr/en/homepage-en/,NenuFAR/NenuSun catalogue; Nançay data services; proposal/campaign data access,,https://nenusun.obspm.fr/catalogue/,Python routine (https://nenupy.readthedocs.io/en/latest/io/tf_reading.html),
Observation Radio Fréquences pour l'Etude des Eruptions Solaires,ORFEES,140,1000,Yes,No,No,"Nancay, France",Online from 2012,Active,Fits,https://secchirh.obspm.fr,https://rsdb.obs-nancay.fr/,,https://secchirh.obspm.fr,Python routine,
OVRO-LWA,OVRO-LWA,13,87,Yes,Yes,Yes,"Owens Valley, CA, USA",Routine Solar Observations from 2024,Active,Calibrated solar spectral images; beamformed dynamic spectra,https://www.ovsa.njit.edu/,OVRO-LWA data query system + documentation,,https://www.ovsa.njit.edu/lwa/,Example Jupyter notebooks,
Square Kilometre Array (SKA-Low),SKA-Low,50,350,Yes,Yes,Yes,"MRO, WA, Australia",Under construction,Active,SKA Science Data Processor products; likely Measurement Set/visibility products and image cubes,https://www.skao.int/en,Future SKA Regional Centre / SKAO data access systems,,,,
Square Kilometre Array (SKA-Mid),SKA-Mid,35,15400,Yes,Yes,Yes,"Karoo, South Africa",Under construction,Active,SKA Science Data Processor products; likely Measurement Set/visibility products and image cubes,https://www.skao.int/en,Future SKA Regional Centre / SKAO data access systems,,,,
Nancay Radio Heliograph (NRH),NRH,150,450,No,Yes,Yes,"Nancay, France",1976. Upgraded 1996.  Offline 2015-2020,Active,Binary visibilities + CSV antenna state; FITS image products,https://secchirh.obspm.fr,https://rsdb.obs-nancay.fr/,,https://secchirh.obspm.fr,Solarsoft IDL tool to get fits imaging data,
Nobeyama Radioheliograph (NoRH),NoRH,17000,34000,No,Yes,Yes,"Nagano, Japan",From 1992,March 2020,"FITS (daily, event, 10min); raw data",https://solar.nro.nao.ac.jp/norh/,Daily/event image FITS and raw data via NoRH archives,,,IDL package; synthesis programs,
Nobeyama Radiopolarimeter (NoRP),NoRP,1000,80000,Yes,No,Yes,"Nagano, Japan",Modern archive from 1994,Active,XDR (IDL save); FITS (calibrated & raw); raw data,https://solar.nro.nao.ac.jp/norh/html/introduction.html,NoRP archive (calibrated + raw; FITS available June 1994–),,,Python library for NoRP FITS; IDL software,
Radio Solar Telescope Network (RSTN) - Learmonth,RSTN - Learmonth,25,180,yes,No,No,Australia,June 2000,Active,SRS ('Solar Radio Spectrograph'; binary data files),https://www.sws.bom.gov.au/Solar/3/1,https://downloads.sws.bom.gov.au/wdc/wdc_spec/data/learmonth/raw/,,https://downloads.sws.bom.gov.au/wdc/wdc_spec/data/learmonth/images/,,
Radio Solar Telescope Network (RSTN) - Culgoora,RSTN - Culgoora,18,1800,Yes,No,No,Australia,November 1992,,BZ2 (binary data files),https://www.sws.bom.gov.au/Solar/3/1,https://downloads.sws.bom.gov.au/wdc/wdc_spec/data/culgoora/raw/,,https://downloads.sws.bom.gov.au/wdc/wdc_spec/data/culgoora/images/,,
Radio Solar Telescope Network (RSTN) - San Vito,RSTN - San Vito,,,,,,,,,,,,,,,
Radio Solar Telescope Network (RSTN) - Sagamore-Hill,RSTN - Sagamore-Hill,,,,,,,,,,,,,,,
Radio Solar Telescope Network (RSTN) - Palehua,RSTN - Palehua,,,,,,,,,,,,,,,
Radio Solar Telescope Network (RSTN) - Holloman,RSTN - Holloman,,,,,,,,,,,,,,,
RSTN,,245,15400,Yes,No,Yes,"Learmonth (Australia), San Vito (Italy), Sagamore Hill (Massachusetts, USA), and Kaena Point (Hawaii, USA)",Network running since 1960s,Active,APL ASCII files (1 record/sec; 8 fixed freqs); spectral SRS files,https://www.sws.bom.gov.au/World_Data_Centre/2/8/9,RSTN data via NOAA/NCEI and SWS WDC,,,SunPy radiospectra RSTNClient; solnet Python package,
URAN-2,URAN-2,8,33,Yes,No,Yes,"Poltava, Ukraine",Data available from 2010,Active,Dynamic spectra/observatory data products; public format not clearly documented,http://rian.kharkov.ua/index.php/uk,no public download portal,,,,Should perhaps be separated into the four different spectrographs
MWA,MWA,80,300,Yes,Yes,Yes,"MRO, WA, Australia",Observational Science since 2013,Active,Raw visibility data (public) via ASVO,https://asvo.mwatelescope.org/services,MWA ASVO web interface; command-line clients; VO TAP service https://asvo.mwatelescope.org/#home,,,"TOPCAT (via TAP), ASVO CLI clients",
MeerKAT,MeerKAT,540,14500,No,Yes,Yes,"Karoo, South Africa",Observational Science since 2018,Active,Visibility data / Measurement Sets and SARAO archive products,https://skaafrica.atlassian.net/servicedesk/customer/portal/1/article/302546945,Not public. A SARAO account is needed.,,,,
Observatory Solar RadioAstronomy (OSRA),OSRA,40,800,Yes,No,Yes,"Tremsdorf, Germany",Since 1954,2007,Archived plots/data products; format varies by epoch,https://www.aip.de/en/research/projects/observatory-for-solar-radio-astronomy-tremsdorf/,OSRA Data Archive (via AIP project page),,,,
Siberian Solar Radio Telescope (SSRT),SSRT,2000,24000,Yes,Yes,Circular Only,"Badary, Russia",Observations started 1980s,Active,Images/maps and archive data products; formats vary,http://ssrt.iszf.irk.ru/,Online SSRT solar data/images (I & circular polarisation V),,,,
Gauribidanur Lowfrequency Solar Spectrograph (GLOSS),GLOSS,40,440,Yes,No,No,"GRO, India",Online data since 2009,Active,Dynamic spectra/images; GUI-accessible files,https://www.iiap.res.in/centers/gro/facilites/,https://www.iiap.res.in/gauribidanur/home.html,,,https://github.com/ajithsampath/Gloss_GBD_GUI,
HSRS,HSRS,45,1495,Yes,No,No,"Humain, Belgium",Data available since 2015,Active,Dynamic spectra files/plots; FITS-like CALLISTO products for CALLISTO component,https://www.sidc.be/humain/home,https://www.sidc.be/humain/home,,,,
Hiraiso Radio Spectrograph (HiRAS),HiRAS,25,2500,Yes,No,No,"Ibaraki, Japan",Online since 1996,2016,Dynamic spectra images/data via NICT database,https://solarobs.nict.go.jp/radio.html,NICT Solar Observation Database (radio spectrograph data),,,,
ARTEMIS–Jean Louis Steinberg Radiospectrograph (ARTEMIS-IV),ARTEMIS-IV,20,650,Yes,,,"Thermopylae, Greece",In operation at Thermopylae since 1996,Active,FITS and DAT files (ASG/SAO receivers); bitmap quicklooks,http://artemis-iv.phys.uoa.gr/,Online data catalogue (quicklooks + FITS/DAT downloads),,,,
IZMIRAN Solar Radio Observations,,20,260,Yes,,,"Troitsk, Moscow region, Russia",First solar radio observations 1949 (regular programmes expanded thereafter),Active,Daily spectra images; burst profiles; tables in SGD format,https://www.izmiran.ru/stp/lars/,Spectra gallery + daily spectra archive + fixed-frequencies archive,,,,
Ondrejov,,1000,2000,yes,No,No,Czech Republic,Current archive from 1990,Active,GIF quicklooks; raw event data by request,https://space.asu.cas.cz/~radio/archiv.htm,Ondřejov solar radio event archive; contact observatory for raw data,,,,
Ondrejov Solar Radio Telescopes,,800,5000,Yes,No,No,"Ondřejov, Czech Republic",RT3 (3.0 GHz) since Sep 1990; RT4 (2.0–5.0 GHz) since Oct 1991; RT5 (0.8–2.0 GHz) since Jun 1992 (RT2 testing),,Event archive quicklooks in GIF (raw data not public),https://space.asu.cas.cz/~radio/,Solar radio event archive (GIF quicklooks; contact radio@asu.cas.cz for raw event data),,https://space.asu.cas.cz/~radio/archiv.htm,,Raw data can be provided by the instrument team upon request. Contact: koval@asu.cas.cz
Green Bank Solar Radio Burst Spectrometer,,18,70,Yes,No,No,"Green Bank Observatory, West Virginia, USA",Daily 18–70 MHz system operating since Jan 2004,2012,,http://gbsrbs.nrao.edu  (https://web.archive.org/web/20200412124948/https://info.nrao.edu/),Dynamic spectra available via the GBSRBS website,,,,
Culgoora Solar Radio Spectrograph,,18,1800,Yes,No,No,"Culgoora Observatory, New South Wales, Australia",Spectrogram data available since Nov 1992,Active,"Dynamic spectrogram plots (intensity 0–255, time resolution ~3 s)",https://www.sws.bom.gov.au/Solar/2/2,"Real-time, hourly and daily spectrogram images",,,,
ETH Zurich 5m dish Bleien,,100,4000,Yes,No,No,"Bleien Radio Observatory (near Gränichen, Aargau, Switzerland)",Observatory built 1979,Active,FITS (Phoenix/e-CALLISTO quicklooks and archives include FITS),https://cosmology.ethz.ch/research/instrumentation/bleien-radio-observatory.html,Bleien Solar Radio Data portal (quicklooks + archives),,,SolarSoft/IDL ETH package; rappview GUI; Java viewers,
ETH Zurich 5m dish STS,,100,4000,Yes,No,No,"Bleien Radio Observatory (near Gränichen, Aargau, Switzerland)",Since 1998?,Active,FITS (available via Bleien Solar Radio Data portal),https://soleil80.cs.technik.fhnw.ch/solarradio/,Bleien Solar Radio Data portal,,,,
ETH Zurich LWA Bleien,,10,80,Yes,No,No,"Bleien, Switzerland",Since 1998?,Active,FITS (available via Bleien Solar Radio Data portal),https://www.craf.eu/radio-observatories-in-europe/bleien/,Bleien Solar Radio Data portal,,,,
Phoenix-3,,100,4000,Yes,No,No,"Bleien Radio Observatory, Switzerland",Since 1998,2010,FITS (available via Bleien Solar Radio Data portal),https://soleil80.cs.technik.fhnw.ch/solarradio/,Quicklooks and archives (Phoenix-3 data incl. FITS),,,SolarSoft/IDL ETH package; rappview GUI; Java viewers,
SunDish project (solar observations with INAF radio telescopes),,18000,26000,No,Yes,Yes,Italy (INAF dishes: Medicina 32m; Sardinia Radio Telescope 64m),Project start 2018,Active,Solar maps / data products (SunDish pipeline),https://sites.google.com/inaf.it/sundish/,SUNDISH Images Archive / Solar Archive (public site),,,SUNPIT (SUNdish PIpeline Tool),
Metsähovi Radio Observatory (MRO),MRO,16,850,Yes,Yes,No,"Kylmälä, Finland",Solar observations since 1978,Active,Raw data and plots (solar maps at 37 GHz; total intensity at 11.2 GHz),https://www.metsahovi.fi/sun/data/,Fairdata dataset + Metsähovi solar data browser/plots,,https://www.metsahovi.fi/sun/data/,Data download page: https://etsin.fairdata.fi/dataset/173e31f9-744d-4092-8968-b29c5684cadb,Check if MRO imaging and spectral instruments are actually the same or different.
"RATAN-600, SAO, Russia",,700,18200,No,Yes,Yes,"Nizhnij Arkhyz, Russia",Daily solar observations published since May 1997,Active,GIF-format archive; FITS-format archive,https://mavr.sao.ru/hq/sun/latest.htm,Daily FITS (temporary archive) + GIF and FITS archives,,,WorkScan; IDL viewer(s) for RATAN data,
Gauribidanur RAdioheliograPH (GRAPH),GRAPH,40,150,No,Yes,No,"Gauribidanur Radio Observatory (about 100 km north of Bangalore, India)",Image Data since 2014,Active,Radioheliograph image products; format varies by archive,https://brics-grain.org/ri-objects/gro/,https://www.iiap.res.in/gauribidanur/home.html,,,,
